# Szpitale (id | nazwa | wsp. x | wsp. y | Liczba łóżek | Liczba wolnych łóżek) 
734 | Hospital | -73 | 243 | 453 | 455
186 | Hospital | -65 | -196 | 928 | 603
223 | Hospital | 273 | 490 | 137 | 385
939 | Hospital | -174 | -131 | 253 | 127
666 | Hospital | -78 | -463 | 674 | 561
971 | Hospital | -7 | -193 | 35 | 99
425 | Hospital | 340 | 32 | 158 | 153
580 | Hospital | -238 | 67 | 561 | 887
345 | Hospital | -342 | -455 | 152 | 67
902 | Hospital | -301 | 37 | 341 | 710
528 | Hospital | -461 | 241 | 629 | 747
19 | Hospital | 70 | -44 | 393 | 72
510 | Hospital | -77 | 240 | 685 | 892
803 | Hospital | 308 | 485 | 495 | 404
494 | Hospital | -236 | -22 | 234 | 12
590 | Hospital | 87 | 337 | 308 | 91
512 | Hospital | -40 | -452 | 388 | 527
574 | Hospital | -459 | -113 | 659 | 19
603 | Hospital | -268 | -226 | 248 | 608
217 | Hospital | -171 | 210 | 899 | 914
914 | Hospital | 270 | 151 | 513 | 775
644 | Hospital | 440 | 134 | 228 | 680
149 | Hospital | -179 | -367 | 44 | 333
364 | Hospital | 146 | -350 | 805 | 731
111 | Hospital | 56 | 350 | 619 | 488
975 | Hospital | 103 | -201 | 522 | 66
880 | Hospital | -318 | -414 | 716 | 294
15 | Hospital | -408 | 208 | 181 | 454
616 | Hospital | -141 | -168 | 186 | 787
857 | Hospital | -464 | 352 | 128 | 842
714 | Hospital | 211 | -315 | 317 | 475
353 | Hospital | 334 | -387 | 327 | 858
115 | Hospital | 174 | -6 | 518 | 954
282 | Hospital | 230 | -361 | 117 | 486
211 | Hospital | -112 | -393 | 74 | 537
498 | Hospital | -155 | -89 | 881 | 816
876 | Hospital | 60 | -53 | 915 | 727
179 | Hospital | -324 | 238 | 226 | 4
420 | Hospital | -193 | 62 | 449 | 955
545 | Hospital | -118 | -435 | 951 | 974
922 | Hospital | 248 | -401 | 810 | 275
778 | Hospital | -44 | -498 | 954 | 853
306 | Hospital | -460 | -68 | 364 | 407
136 | Hospital | -444 | -199 | 530 | 790
417 | Hospital | 246 | -112 | 786 | 101
925 | Hospital | 127 | -316 | 834 | 937
248 | Hospital | -319 | 2 | 236 | 380
152 | Hospital | 314 | -49 | 402 | 856
564 | Hospital | 344 | 117 | 910 | 346
449 | Hospital | 282 | -129 | 271 | 655
979 | Hospital | 387 | 428 | 545 | 706
208 | Hospital | 239 | -428 | 387 | 329
789 | Hospital | -42 | 391 | 711 | 471
6 | Hospital | -99 | -422 | 978 | 124
276 | Hospital | 52 | 204 | 987 | 154
903 | Hospital | 105 | 31 | 577 | 910
299 | Hospital | -186 | 323 | 957 | 120
18 | Hospital | 419 | -470 | 965 | 93
927 | Hospital | 149 | 217 | 610 | 427
347 | Hospital | 365 | -28 | 239 | 176
985 | Hospital | -106 | -441 | 471 | 207
863 | Hospital | -27 | -170 | 962 | 6
344 | Hospital | 465 | 27 | 658 | 522
94 | Hospital | 398 | -234 | 862 | 375
889 | Hospital | 322 | -373 | 244 | 255
854 | Hospital | 19 | -273 | 112 | 628
916 | Hospital | -420 | -101 | 676 | 697
442 | Hospital | -80 | -390 | 627 | 394
581 | Hospital | 133 | 388 | 274 | 525
708 | Hospital | -111 | -290 | 820 | 830
929 | Hospital | -201 | 143 | 89 | 181
548 | Hospital | 114 | -179 | 37 | 684
911 | Hospital | -485 | -322 | 282 | 549
386 | Hospital | -95 | -295 | 691 | 173
197 | Hospital | 152 | 359 | 403 | 95
757 | Hospital | -37 | -42 | 130 | 618
681 | Hospital | -385 | -303 | 890 | 938
645 | Hospital | -435 | 435 | 111 | 442
542 | Hospital | 304 | 378 | 81 | 916
242 | Hospital | 446 | -305 | 645 | 936
677 | Hospital | 82 | 98 | 590 | 210
547 | Hospital | 325 | 190 | 822 | 643
918 | Hospital | -87 | 138 | 616 | 339
620 | Hospital | 167 | -171 | 677 | 107
700 | Hospital | 466 | 123 | 704 | 235
855 | Hospital | 315 | 242 | 493 | 991
976 | Hospital | -98 | 443 | 42 | 778
182 | Hospital | 37 | 44 | 760 | 474
42 | Hospital | 128 | 282 | 963 | 827
698 | Hospital | -36 | 392 | 543 | 130
524 | Hospital | -280 | -332 | 178 | 640
802 | Hospital | -237 | -120 | 459 | 307
717 | Hospital | -305 | 145 | 654 | 821
98 | Hospital | 310 | -403 | 778 | 934
31 | Hospital | -13 | 97 | 736 | 263
205 | Hospital | -356 | 281 | 825 | 761
26 | Hospital | 423 | -454 | 699 | 560
142 | Hospital | -235 | 235 | 195 | 869
635 | Hospital | 283 | -231 | 173 | 547
405 | Hospital | -45 | -26 | 53 | 126
741 | Hospital | 222 | 180 | 104 | 704
424 | Hospital | 172 | 93 | 147 | 872
296 | Hospital | -431 | -253 | 591 | 406
11 | Hospital | 124 | 447 | 270 | 268
318 | Hospital | -116 | -169 | 470 | 386
187 | Hospital | 451 | 89 | 533 | 609
29 | Hospital | -490 | -391 | 768 | 198
1 | Hospital | -389 | -54 | 417 | 492
114 | Hospital | -466 | -5 | 150 | 203
246 | Hospital | 76 | 469 | 96 | 27
432 | Hospital | 263 | 139 | 477 | 648
74 | Hospital | -314 | 305 | 919 | 325
189 | Hospital | 231 | 141 | 983 | 157
257 | Hospital | -107 | -429 | 155 | 751
358 | Hospital | 471 | 340 | 252 | 376
983 | Hospital | 91 | 78 | 872 | 228
554 | Hospital | -138 | -456 | 719 | 699
95 | Hospital | -452 | -257 | 634 | 14
166 | Hospital | 156 | -144 | 665 | 391
50 | Hospital | -218 | -11 | 474 | 34
754 | Hospital | -336 | 264 | 465 | 760
529 | Hospital | 148 | 292 | 174 | 145
605 | Hospital | 267 | -377 | 717 | 972
821 | Hospital | -194 | 59 | 447 | 117
194 | Hospital | -398 | 389 | 630 | 741
327 | Hospital | 244 | -280 | 974 | 438
997 | Hospital | 227 | -419 | 15 | 573
292 | Hospital | -270 | -78 | 50 | 613
831 | Hospital | 186 | 491 | 944 | 978
878 | Hospital | -454 | -30 | 661 | 199
395 | Hospital | -48 | 309 | 338 | 114
356 | Hospital | -184 | -447 | 431 | 602
788 | Hospital | -176 | -102 | 520 | 18
877 | Hospital | -31 | -215 | 156 | 795
109 | Hospital | -216 | 124 | 953 | 243
951 | Hospital | 418 | -65 | 922 | 408
369 | Hospital | -345 | 135 | 849 | 900
808 | Hospital | -53 | 483 | 201 | 800
433 | Hospital | 6 | -437 | 938 | 335
772 | Hospital | -19 | -251 | 970 | 882
478 | Hospital | 169 | -346 | 149 | 899
693 | Hospital | 427 | 416 | 927 | 812
883 | Hospital | -358 | 500 | 906 | 845
204 | Hospital | -125 | 184 | 671 | 469
862 | Hospital | -68 | 9 | 260 | 663
579 | Hospital | -226 | 36 | 982 | 505
348 | Hospital | -139 | 408 | 204 | 84
445 | Hospital | 199 | -227 | 299 | 370
628 | Hospital | -438 | 338 | 575 | 498
933 | Hospital | -108 | 6 | 48 | 619
412 | Hospital | 469 | -395 | 276 | 712
750 | Hospital | 285 | 287 | 79 | 369
483 | Hospital | 496 | 366 | 73 | 30
397 | Hospital | 452 | 395 | 682 | 161
684 | Hospital | -299 | -233 | 942 | 523
170 | Hospital | -233 | -103 | 854 | 967
44 | Hospital | 209 | -412 | 840 | 414
81 | Hospital | 354 | 356 | 135 | 40
904 | Hospital | 338 | 199 | 222 | 459
692 | Hospital | -258 | 126 | 631 | 817
89 | Hospital | 69 | -222 | 409 | 316
697 | Hospital | -76 | 328 | 885 | 362
624 | Hospital | 397 | 51 | 190 | 732
797 | Hospital | 330 | -208 | 855 | 508
401 | Hospital | -480 | 254 | 177 | 521
496 | Hospital | -425 | 129 | 391 | 9
470 | Hospital | -451 | 11 | 565 | 208
343 | Hospital | -72 | 122 | 755 | 987
516 | Hospital | -437 | 39 | 937 | 160
967 | Hospital | -275 | -410 | 586 | 57
254 | Hospital | -115 | -240 | 326 | 225
749 | Hospital | 353 | -420 | 423 | 753
377 | Hospital | 79 | 495 | 819 | 383
113 | Hospital | -384 | 149 | 55 | 931
614 | Hospital | 430 | 459 | 90 | 258
809 | Hospital | -473 | -453 | 97 | 777
780 | Hospital | 54 | -219 | 794 | 884
17 | Hospital | -35 | 423 | 4 | 644
764 | Hospital | 336 | -445 | 526 | 813
703 | Hospital | -123 | -12 | 185 | 673
444 | Hospital | -402 | 221 | 931 | 489
418 | Hospital | -66 | 481 | 744 | 902
154 | Hospital | -377 | -325 | 100 | 79
995 | Hospital | 366 | -157 | 724 | 606
376 | Hospital | 303 | -24 | 119 | 990
30 | Hospital | 272 | 173 | 59 | 896
763 | Hospital | 477 | -86 | 567 | 883
404 | Hospital | -255 | -247 | 562 | 926
664 | Hospital | 196 | -99 | 169 | 85
724 | Hospital | -75 | 476 | 375 | 767
10 | Hospital | 249 | -62 | 286 | 835
403 | Hospital | -195 | 230 | 357 | 209
323 | Hospital | 268 | -486 | 65 | 174
222 | Hospital | -399 | 1 | 292 | 841
135 | Hospital | -307 | 426 | 923 | 729
46 | Hospital | 444 | 466 | 318 | 23
912 | Hospital | 396 | 381 | 869 | 516
747 | Hospital | -362 | 69 | 720 | 890
503 | Hospital | 49 | 191 | 127 | 831
415 | Hospital | 329 | -197 | 858 | 453
7 | Hospital | -378 | 64 | 793 | 192
838 | Hospital | 77 | -492 | 171 | 0
618 | Hospital | -491 | -477 | 893 | 723
134 | Hospital | -281 | 22 | 908 | 620
942 | Hospital | -182 | 449 | 316 | 439
534 | Hospital | 341 | 365 | 105 | 857
936 | Hospital | -219 | -285 | 485 | 140
643 | Hospital | 63 | 161 | 83 | 62
522 | Hospital | -333 | 77 | 602 | 796
139 | Hospital | 200 | -149 | 600 | 42
48 | Hospital | 165 | -84 | 36 | 392
64 | Hospital | 394 | 247 | 930 | 875
882 | Hospital | 219 | -135 | 16 | 981
143 | Hospital | -311 | -137 | 988 | 464
212 | Hospital | -329 | -489 | 193 | 193
389 | Hospital | 327 | 170 | 462 | 681
150 | Hospital | 33 | -425 | 637 | 139
363 | Hospital | 170 | -249 | 947 | 371
725 | Hospital | -157 | 76 | 67 | 411
461 | Hospital | 402 | -194 | 797 | 466
239 | Hospital | 434 | 301 | 69 | 131
183 | Hospital | 343 | -258 | 940 | 445
8 | Hospital | -494 | -443 | 257 | 950
709 | Hospital | -170 | 110 | 322 | 616
317 | Hospital | -163 | -25 | 971 | 430
798 | Hospital | -361 | 52 | 3 | 819
216 | Hospital | -374 | 462 | 161 | 770
20 | Hospital | -198 | 394 | 92 | 844
133 | Hospital | 12 | 34 | 916 | 111
73 | Hospital | -204 | 269 | 479 | 332
597 | Hospital | -312 | -459 | 868 | 738
482 | Hospital | -320 | -37 | 686 | 58
320 | Hospital | 47 | -122 | 700 | 51
181 | Hospital | -16 | 20 | 772 | 755
163 | Hospital | 28 | 185 | 225 | 341
966 | Hospital | -220 | 402 | 966 | 567
367 | Hospital | -69 | 286 | 896 | 824
247 | Hospital | -222 | -383 | 231 | 776
686 | Hospital | 287 | -298 | 98 | 11
131 | Hospital | -430 | 294 | 642 | 578
812 | Hospital | -162 | -356 | 359 | 909
633 | Hospital | 346 | -337 | 68 | 893
144 | Hospital | 294 | 61 | 731 | 979
231 | Hospital | 467 | 253 | 853 | 559
230 | Hospital | 266 | 433 | 612 | 284
736 | Hospital | 333 | -228 | 245 | 636
706 | Hospital | 463 | -184 | 904 | 580
570 | Hospital | -147 | -23 | 348 | 701
550 | Hospital | 235 | -71 | 905 | 216
807 | Hospital | -241 | 255 | 214 | 363
819 | Hospital | 61 | 436 | 165 | 848
671 | Hospital | 110 | -418 | 613 | 556
864 | Hospital | -257 | -369 | 376 | 82
559 | Hospital | 486 | -267 | 961 | 944
551 | Hospital | -383 | 164 | 688 | 550
759 | Hospital | 488 | 446 | 783 | 78
766 | Hospital | 252 | 451 | 265 | 317
825 | Hospital | 185 | 226 | 368 | 740
767 | Hospital | 405 | -138 | 683 | 164
342 | Hospital | -328 | -366 | 967 | 921
12 | Hospital | -153 | 425 | 973 | 270
409 | Hospital | -165 | -371 | 45 | 262
56 | Hospital | 362 | 410 | 882 | 231
667 | Hospital | 86 | 146 | 739 | 772
169 | Hospital | 232 | -306 | 680 | 22
480 | Hospital | 2 | -461 | 434 | 163
520 | Hospital | -71 | 231 | 466 | 29
694 | Hospital | 180 | 157 | 372 | 645
824 | Hospital | -472 | -386 | 544 | 312
285 | Hospital | -316 | 298 | 426 | 506
634 | Hospital | -499 | -216 | 599 | 585
199 | Hospital | -34 | 263 | 959 | 786
613 | Hospital | 421 | 103 | 306 | 878
557 | Hospital | -269 | -475 | 175 | 133
712 | Hospital | 68 | -156 | 249 | 435
336 | Hospital | -283 | -209 | 491 | 249
295 | Hospital | -29 | 374 | 648 | 752
165 | Hospital | 459 | 271 | 851 | 55
43 | Hospital | -323 | 404 | 850 | 688
52 | Hospital | 492 | -265 | 70 | 801
398 | Hospital | -38 | -354 | 816 | 664
65 | Hospital | -391 | 120 | 208 | 1
168 | Hospital | 386 | -136 | 172 | 662
511 | Hospital | -26 | -321 | 382 | 895
562 | Hospital | -43 | 229 | 502 | 980
490 | Hospital | 422 | 398 | 875 | 213
51 | Hospital | -230 | 413 | 419 | 690
762 | Hospital | -234 | 33 | 14 | 105
872 | Hospital | 429 | 53 | 134 | 296
288 | Hospital | 498 | 237 | 304 | 416
256 | Hospital | 3 | -66 | 261 | 977
629 | Hospital | 278 | -484 | 288 | 75
241 | Hospital | 224 | -263 | 64 | 204
67 | Hospital | 30 | -229 | 118 | 639
881 | Hospital | 72 | 224 | 80 | 183
446 | Hospital | 111 | -43 | 43 | 206
657 | Hospital | -178 | 200 | 422 | 443
758 | Hospital | -421 | -159 | 197 | 398
350 | Hospital | -498 | -404 | 734 | 500
558 | Hospital | -61 | -187 | 229 | 924
280 | Hospital | -288 | -59 | 511 | 837
943 | Hospital | -58 | -400 | 47 | 202
730 | Hospital | 236 | 431 | 831 | 191
132 | Hospital | 177 | 362 | 220 | 306
466 | Hospital | 202 | 434 | 483 | 254
83 | Hospital | -286 | 60 | 58 | 683
779 | Hospital | 479 | -214 | 498 | 976
361 | Hospital | -486 | 201 | 615 | 611
885 | Hospital | 253 | 212 | 796 | 49
589 | Hospital | 157 | -493 | 142 | 290
316 | Hospital | -410 | -147 | 230 | 8
770 | Hospital | 189 | -10 | 646 | 742
120 | Hospital | 166 | -351 | 644 | 656
178 | Hospital | -248 | -327 | 694 | 781
85 | Hospital | 26 | -35 | 411 | 865
460 | Hospital | 361 | 299 | 751 | 818
892 | Hospital | -217 | 288 | 21 | 63
61 | Hospital | 130 | 5 | 436 | 426
746 | Hospital | -469 | 95 | 153 | 765
159 | Hospital | 390 | -182 | 412 | 703
899 | Hospital | 411 | 405 | 435 | 24
898 | Hospital | 207 | -481 | 353 | 245
568 | Hospital | -360 | 54 | 580 | 412
2 | Hospital | -225 | -388 | 351 | 779
661 | Hospital | -4 | 375 | 516 | 705
735 | Hospital | 388 | 147 | 611 | 880
264 | Hospital | 425 | -221 | 527 | 390
727 | Hospital | -313 | 196 | 106 | 889
60 | Hospital | -493 | 140 | 87 | 5
484 | Hospital | 73 | -220 | 509 | 515
537 | Hospital | 159 | -310 | 460 | 661
41 | Hospital | 328 | 285 | 363 | 144
972 | Hospital | 269 | -293 | 349 | 963
792 | Hospital | 134 | -161 | 657 | 891
718 | Hospital | -289 | -309 | 324 | 451
75 | Hospital | -367 | 407 | 52 | 587
753 | Hospital | -394 | -330 | 912 | 721
965 | Hospital | -260 | -264 | 785 | 657
923 | Hospital | 115 | 106 | 842 | 941
841 | Hospital | 497 | 297 | 692 | 440
731 | Hospital | 138 | -336 | 267 | 257
36 | Hospital | -208 | 28 | 481 | 196
45 | Hospital | -302 | 360 | 482 | 17
359 | Hospital | 25 | -81 | 968 | 702
992 | Hospital | -344 | 148 | 420 | 881
756 | Hospital | 106 | -339 | 824 | 607
514 | Hospital | -439 | 73 | 675 | 568
180 | Hospital | -1 | 419 | 333 | 39
710 | Hospital | -292 | -343 | 705 | 494
32 | Hospital | 352 | -399 | 911 | 32
847 | Hospital | 458 | -87 | 133 | 356
275 | Hospital | 262 | 498 | 289 | 318
870 | Hospital | 264 | 455 | 291 | 367
59 | Hospital | -259 | 111 | 764 | 670
823 | Hospital | -496 | 415 | 684 | 141
196 | Hospital | 318 | 18 | 66 | 150
506 | Hospital | -405 | -73 | 903 | 793
362 | Hospital | -492 | 364 | 933 | 135
814 | Hospital | 374 | -261 | 114 | 195
955 | Hospital | 474 | 475 | 563 | 528
101 | Hospital | -231 | -384 | 217 | 223
439 | Hospital | 15 | 156 | 894 | 460
517 | Hospital | 414 | 314 | 85 | 665
625 | Hospital | -9 | -9 | 336 | 103
704 | Hospital | 171 | -19 | 763 | 481
817 | Hospital | 482 | -186 | 864 | 248
99 | Hospital | 298 | 186 | 307 | 201
773 | Hospital | 473 | -76 | 272 | 337
297 | Hospital | -229 | -1 | 123 | 544
924 | Hospital | 276 | 189 | 666 | 113
544 | Hospital | -161 | 202 | 597 | 962
563 | Hospital | -203 | -72 | 569 | 446
371 | Hospital | 243 | -150 | 374 | 814
515 | Hospital | -251 | -362 | 167 | 548
599 | Hospital | -104 | -355 | 880 | 946
146 | Hospital | -415 | 437 | 745 | 35
414 | Hospital | 256 | 454 | 506 | 854
307 | Hospital | 377 | -3 | 863 | 20
314 | Hospital | -458 | -397 | 941 | 773
856 | Hospital | 191 | 3 | 771 | 61
502 | Hospital | 44 | -363 | 342 | 359
875 | Hospital | -143 | -379 | 782 | 240
346 | Hospital | 379 | -458 | 992 | 110
569 | Hospital | 491 | 79 | 362 | 288
440 | Hospital | -247 | -423 | 340 | 932
117 | Hospital | 80 | -409 | 836 | 746
229 | Hospital | 378 | -446 | 791 | 734
402 | Hospital | 380 | 422 | 182 | 499
609 | Hospital | 312 | -318 | 769 | 999
200 | Hospital | -306 | 50 | 623 | 165
761 | Hospital | -242 | -408 | 77 | 677
796 | Hospital | -81 | -260 | 283 | 658
447 | Hospital | -303 | 203 | 935 | 763
308 | Hospital | 250 | 174 | 314 | 125
771 | Hospital | -197 | 19 | 251 | 352
665 | Hospital | -265 | -108 | 826 | 409
689 | Hospital | -121 | -51 | 678 | 482
869 | Hospital | -351 | -236 | 753 | 809
602 | Hospital | -340 | 284 | 71 | 400
349 | Hospital | -8 | 225 | 747 | 395
37 | Hospital | -332 | 304 | 835 | 497
617 | Hospital | 299 | -297 | 542 | 689
107 | Hospital | 20 | -365 | 766 | 797
653 | Hospital | -93 | -374 | 809 | 679
546 | Hospital | -484 | 248 | 874 | 612
270 | Hospital | 147 | 385 | 358 | 272
379 | Hospital | -475 | 176 | 430 | 330
507 | Hospital | 410 | -304 | 798 | 351
419 | Hospital | 88 | 465 | 268 | 229
137 | Hospital | 275 | -121 | 871 | 825
696 | Hospital | -15 | -69 | 457 | 959
260 | Hospital | -401 | -143 | 200 | 728
962 | Hospital | 311 | 88 | 898 | 943
719 | Hospital | 168 | -277 | 964 | 425
130 | Hospital | 217 | -167 | 136 | 947
485 | Hospital | 84 | -255 | 564 | 596
351 | Hospital | -296 | -286 | 369 | 283
543 | Hospital | -96 | -105 | 428 | 396
626 | Hospital | -433 | -127 | 192 | 833
610 | Hospital | -102 | -289 | 761 | 405
884 | Hospital | -145 | -353 | 618 | 444
437 | Hospital | 401 | 346 | 138 | 292
521 | Hospital | 367 | 277 | 489 | 374
177 | Hospital | 413 | -411 | 698 | 326
805 | Hospital | -404 | 444 | 179 | 695
556 | Hospital | 316 | -405 | 817 | 861
523 | Hospital | 39 | -225 | 151 | 509
715 | Hospital | -74 | -163 | 103 | 331
526 | Hospital | -285 | 82 | 78 | 468
638 | Hospital | 81 | 227 | 693 | 116
950 | Hospital | -103 | 259 | 524 | 170
748 | Hospital | -497 | 250 | 946 | 194
463 | Hospital | 220 | 130 | 429 | 90
69 | Hospital | -239 | -191 | 162 | 696
582 | Hospital | 129 | 15 | 492 | 324
160 | Hospital | 462 | -499 | 668 | 437
583 | Hospital | 296 | 14 | 121 | 87
621 | Hospital | -105 | 150 | 697 | 70
452 | Hospital | 408 | 228 | 213 | 557
448 | Hospital | -90 | 56 | 146 | 64
360 | Hospital | 121 | -370 | 741 | 384
193 | Hospital | 483 | -61 | 75 | 354
897 | Hospital | 136 | -17 | 385 | 303
145 | Hospital | -271 | 160 | 925 | 477
873 | Hospital | -127 | 80 | 284 | 945
416 | Hospital | -457 | 409 | 709 | 524
155 | Hospital | 395 | 216 | 636 | 234
47 | Hospital | -206 | 109 | 507 | 449
567 | Hospital | 204 | 198 | 718 | 452
249 | Hospital | 393 | 411 | 84 | 536
588 | Hospital | -94 | 99 | 170 | 450
38 | Hospital | 112 | 417 | 124 | 589
984 | Hospital | 450 | 460 | 484 | 534
676 | Hospital | -352 | -70 | 578 | 188
549 | Hospital | 324 | 86 | 902 | 634
477 | Hospital | -412 | 234 | 712 | 632
571 | Hospital | -462 | 478 | 415 | 83
776 | Hospital | 485 | 107 | 232 | 551
322 | Hospital | 17 | -416 | 828 | 925
835 | Hospital | 99 | 295 | 473 | 377
464 | Hospital | -471 | 315 | 929 | 735
957 | Hospital | -325 | 178 | 148 | 711
683 | Hospital | 98 | -250 | 212 | 594
611 | Hospital | 412 | 262 | 977 | 115
110 | Hospital | -364 | 353 | 715 | 764
4 | Hospital | 218 | -141 | 86 | 927
175 | Hospital | -232 | 267 | 913 | 420
751 | Hospital | 382 | -195 | 750 | 948
96 | Hospital | -483 | -207 | 458 | 456
174 | Hospital | 175 | 119 | 263 | 871
887 | Hospital | -51 | -433 | 157 | 281
606 | Hospital | 35 | 382 | 996 | 381
679 | Hospital | 198 | 414 | 501 | 239
90 | Hospital | 203 | -232 | 539 | 485
998 | Hospital | -119 | 274 | 235 | 968
728 | Hospital | 358 | 266 | 844 | 952
122 | Hospital | -63 | -440 | 742 | 495
218 | Hospital | 102 | -287 | 888 | 487
659 | Hospital | 118 | 214 | 721 | 436
453 | Hospital | -407 | -106 | 223 | 89
742 | Hospital | -343 | -79 | 5 | 415
886 | Hospital | 454 | -352 | 626 | 349
769 | Hospital | -380 | 182 | 573 | 576
631 | Hospital | 400 | -262 | 487 | 152
434 | Hospital | 238 | -60 | 972 | 749
738 | Hospital | 23 | 322 | 131 | 597
383 | Hospital | -11 | 112 | 8 | 56
795 | Hospital | -128 | -430 | 31 | 291
647 | Hospital | -3 | 492 | 312 | 698
716 | Hospital | 368 | 94 | 49 | 958
265 | Hospital | 240 | -294 | 219 | 224
711 | Hospital | -349 | -448 | 781 | 692
467 | Hospital | -228 | 438 | 606 | 582
893 | Hospital | -215 | 370 | 110 | 169
832 | Hospital | -84 | -312 | 397 | 693
868 | Hospital | -256 | 313 | 309 | 345
996 | Hospital | 32 | -417 | 571 | 598
963 | Hospital | 349 | 283 | 865 | 912
263 | Hospital | -279 | 339 | 347 | 805
5 | Hospital | -6 | -314 | 701 | 168
760 | Hospital | 433 | 420 | 54 | 274
259 | Hospital | 55 | 333 | 519 | 860
462 | Hospital | -294 | -359 | 549 | 993
427 | Hospital | -467 | 0 | 468 | 166
22 | Hospital | 90 | -124 | 804 | 53
3 | Hospital | 309 | -320 | 540 | 340
465 | Hospital | 348 | -173 | 497 | 190
600 | Hospital | -130 | 166 | 969 | 563
88 | Hospital | -423 | -457 | 870 | 322
156 | Hospital | -168 | -46 | 883 | 28
407 | Hospital | 373 | 311 | 762 | 623
385 | Hospital | 1 | -376 | 799 | 691
